Authors,Document Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,label,Other predictin,Page count,Cited by,DOI,PDF Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Velarde H., Santiesteban C., Garcia A., Casillas J.",Analyzing the effect of variables in the software development effort estimation,2016,IEEE Latin America Transactions,14,8,7786366,3797,3803,yes,,,,10.1109/TLA.2016.7786366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007449376&doi=10.1109%2fTLA.2016.7786366&partnerID=40&md5=7161663901bbe4659c1b27c5f86bbae7,"Facultad de Ciencias e IngenierÃ_as. FÃ_sicas y Formales, Universidad CatÃ_lica de Santa MarÃ_a, Arequipa, Peru; Centro de Bioplantas, Universidad de Ciego de ÃÅvila, Cuba; DivisiÃ_n Territorial Villa Clara, DESOFT, Cuba; Departamento de Ciencias de la ComputaciÃ_n e Inteligencia Artificial, Universidad de Granada, Spain","Velarde, H., Facultad de Ciencias e IngenierÃ_as. FÃ_sicas y Formales, Universidad CatÃ_lica de Santa MarÃ_a, Arequipa, Peru; Santiesteban, C., Centro de Bioplantas, Universidad de Ciego de ÃÅvila, Cuba; Garcia, A., DivisiÃ_n Territorial Villa Clara, DESOFT, Cuba; Casillas, J., Departamento de Ciencias de la ComputaciÃ_n e Inteligencia Artificial, Universidad de Granada, Spain","Due to the variability of variables, the estimation of effort in software development is considered as a very difficult task. Maybe due to small databases, uncertain and very subjective information. For these reason, in this paper, we introduce a study of the effect of variables in the software development effort estimation process. The estimation employing lines of codes, function points and engineering task, were taken as reference. With the use of datamining and machine learning technics, were demonstrated that the effort estimation using engineering task is more accurate. And, by the other hand, was established the influence of each variable, in the software development effort estimation process. Â© 2003-2012 IEEE.",Datamining; Decision Trees; Effort estimation; Regression Trees; Software metrics; Software projects; Variables selection,Article,Scopus,2-s2.0-85007449376
"Urbanek T., Prokopova Z., Silhavy R., Kuncar A.",Using analytical programming for software effort estimation,2016,Advances in Intelligent Systems and Computing,465,,,261,272,yes,,,,10.1007/978-3-319-33622-0_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964788339&doi=10.1007%2f978-3-319-33622-0_24&partnerID=40&md5=c6bd7ce267c67f1c41ed69d433ea474a,"Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi, ZlÃ_n, Czech Republic","Urbanek, T., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi, ZlÃ_n, Czech Republic; Prokopova, Z., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi, ZlÃ_n, Czech Republic; Silhavy, R., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi, ZlÃ_n, Czech Republic; Kuncar, A., Faculty of Applied Informatics, Tomas Bata University in Zlin, Nad Stranemi, ZlÃ_n, Czech Republic","This paper evaluates the usage of analytical programming for software effort estimation. Analytical programming and differential evolution generate regression models. The new model was generated by analytical programming and it was tested and compared with Karnerâ€™s model to assess insight to its properties. Mean Magnitude of Relative Error and k-fold cross validation were used to assess the reliability to this experiment. The experimental results shows that the new model generated by analytical programming outperforms the Karnerâ€™s equation about 12% MMRE. Moreover, this work shows that analytical programming method is viable method for calibrating Use Case Points method. All results were evaluated by standard approach: visual inspection and statistical significance testing. Â© Springer International Publishing Switzerland 2016.",Analytical programming; Differential evolution; Effort estimation; Use case points,Conference Paper,Scopus,2-s2.0-84964788339
"Sree S.R., Ramesh S.N.S.V.S.C.",Analytical structure of a fuzzy logic controller for software development effort estimation,2016,Advances in Intelligent Systems and Computing,410,,,209,216,yes,,,,10.1007/978-81-322-2734-2_22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952032054&doi=10.1007%2f978-81-322-2734-2_22&partnerID=40&md5=9bba3982f2f79e35bcab6d85dd3cb02d,"Department of CSE, Aditya Engineering College, JNTUK, Kakinada, AP, India; Department of CSE, Sri Sai Aditya Institute of Science and Technology, JNTUK, Kakinada, AP, India","Sree, S.R., Department of CSE, Aditya Engineering College, JNTUK, Kakinada, AP, India; Ramesh, S.N.S.V.S.C., Department of CSE, Sri Sai Aditya Institute of Science and Technology, JNTUK, Kakinada, AP, India","Most recently, attention has turned towards Machine learning techniques to predict software development cost as they are more apt when vague and inaccurate information is to be used. Based on the existing evidences, it is proved that a few of the problems associated with previous models are addressed by soft computing techniques. But, the need for accurate cost prediction in software project management is a challenge till today. In this paper, the analytical structure of a Takagi-Sugeno Fuzzy Logic Controller with two inputs and one output for software development effort estimation with a case study on NASA 93 dataset is discussed. The analytical study is also presented with two sample inputs. The Fuzzy models are developed using triangular and GBell membership functions. The results are compared using various assessment criteria. It has been observed that the fuzzy model with triangular membership function performed better than the other models. Â© Springer India 2016.",Analytical study; Criteria for assessment; Effort estimation; Fuzzy logic controller; Fuzzy rules,Conference Paper,Scopus,2-s2.0-84952032054
"Sree P.R., Ramesh S.N.S.V.S.C.",Improving Efficiency of Fuzzy Models for Effort Estimation by Cascading & Clustering Techniques,2016,Procedia Computer Science,85,,,278,285,yes,,,,10.1016/j.procs.2016.05.234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978634495&doi=10.1016%2fj.procs.2016.05.234&partnerID=40&md5=de3b6356c17b316a5aee194341b0c58d,"Department of CSE, Aditya Engineering College, JNTUK, Kakinada, India; Department of CSE, Sri Sai Aditya Institute of Science and Technology, JNTUK, Kakinada, India","Sree, P.R., Department of CSE, Aditya Engineering College, JNTUK, Kakinada, India; Ramesh, S.N.S.V.S.C., Department of CSE, Sri Sai Aditya Institute of Science and Technology, JNTUK, Kakinada, India","The main challenge in software industry is the process of estimating the cost required for the development or maintenance of a project. Various models have been proposed for constructing a relationship between size of software and its development effort. Various algorithmic cost estimation models exists with their own pros and cons for estimation. Now a days, attention has turned towards Machine learning techniques as few of the problems associated with previous models are being addressed by the soft computing techniques. But, the need for accurate effort estimation in software project management is still a challenge. The literature shows the usage of Fuzzy Logic Controller for Software Effort Estimation, but the computational time is very high as the rulebase is large. The main aim is to reduce the rulebase and improve the efficiency by cascading of Fuzzy Logic Controllers. A case study on NASA 93 dataset is taken for this purpose. The Proposed work is carried out by cascading the Fuzzy Logic Controllers in a stage of two and six for Software Effort Estimation. By increasing the cascading of Fuzzy Logic Controllers, the efficiency has been improved with the minimized size in rulebase. The limitation to this process is to find out the correct number of cascaded Fuzzy Logic Controllers. To overcome this a Fuzzy Model using Subtractive Clustering has been proposed. The rulebase of the models developed by using Subtractive Clustering is further reduced. Considering the rule minimization and the various criteria for assessment, Fuzzy Models developed using Subtractive Clustering provides better software development effort estimates. Â© 2016 Published by Elsevier B.V.",Cascading Fuzzy Logic Controllers; Effort Estimation; Fuzzy Logic Controller; NASA 93 dataset; Rulebase; Subtractive Clustering,Conference Paper,Scopus,2-s2.0-84978634495
"Soltanveis F., Alizadeh S.H.",Using parametric regression and KNN algorithm with missing handling for software effort prediction,2016,"2016 Artificial Intelligence and Robotics, IRANOPEN 2016",,,7529494,77,84,yes,,,,10.1109/RIOS.2016.7529494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992190516&doi=10.1109%2fRIOS.2016.7529494&partnerID=40&md5=c70700d74ad617a902db54ab181f709b,"Faculty of Electronic, Computer and IT, Islamic Azad University, Qazvin Branch, Qazvin, Iran","Soltanveis, F., Faculty of Electronic, Computer and IT, Islamic Azad University, Qazvin Branch, Qazvin, Iran; Alizadeh, S.H., Faculty of Electronic, Computer and IT, Islamic Azad University, Qazvin Branch, Qazvin, Iran","Estimating the software development costs, budget and resources such as the time and effort is one of the most important activities in the software project management. The error rate, at the estimating costs, has a sizable portion in success or fail of a project. In general, it is used from similar project histories for project estimation. One of the challenges in this approach is missing values. in this research, first, for handling missing values the K nearest neighbor (KNN) algorithm and Mean Imputation has been used, then for effort prediction, the parametric model based methods, the nonlinear and polynomial regression(quadratic) is used. The proposed method is performed on the CM1 dataset and the results show that the combination of KNN and nonlinear regression (quadratic) has the best response, signifying accuracy improvement and relative error reduction, in comparing with other approaches. Â© 2016 IEEE.",effort estimation; missing value; regression,Conference Paper,Scopus,2-s2.0-84992190516
"Silhavy R., Prokopova Z., Silhavy P.",Algorithmic optimization method for effort estimation,2016,Programming and Computer Software,42,3,,161,166,yes,,,,10.1134/S0361768816030087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971223685&doi=10.1134%2fS0361768816030087&partnerID=40&md5=19e8356d7e1238f3e97bce9d6178b360,"Faculty of Applied Informatics, Tomas Bata University, T.G. Masaryka 5555, Zlin, Czech Republic","Silhavy, R., Faculty of Applied Informatics, Tomas Bata University, T.G. Masaryka 5555, Zlin, Czech Republic; Prokopova, Z., Faculty of Applied Informatics, Tomas Bata University, T.G. Masaryka 5555, Zlin, Czech Republic; Silhavy, P., Faculty of Applied Informatics, Tomas Bata University, T.G. Masaryka 5555, Zlin, Czech Republic","This paper presents an improvement of an effort estimation method that can be used to predict the level of effort for software development projects. A new estimation approach based on a two-phase algorithm is used. In the first phase, we apply a calculation based on use case points (UCPs). In the second phase, we add correction values (a1, a2) obtained via least squares regression. This approach employs historical project data to refine the estimate. By applying the least squares regression approach, the algorithm filters out estimation errors caused by human factors and company practice. Â© 2016, Pleiades Publishing, Ltd.",,Article,Scopus,2-s2.0-84971223685
"Sigweni B., Shepperd M., Turchi T.",Realistic assessment of software effort estimation models,2016,ACM International Conference Proceeding Series,01-03-June-2016,, a41,,,yes,,,,10.1145/2915970.2916005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978535952&doi=10.1145%2f2915970.2916005&partnerID=40&md5=b0692d02a66de707e06979ec8adea12d,"Department of Computer Science, Brunel University London, United Kingdom","Sigweni, B., Department of Computer Science, Brunel University London, United Kingdom; Shepperd, M., Department of Computer Science, Brunel University London, United Kingdom; Turchi, T., Department of Computer Science, Brunel University London, United Kingdom","Context: It is unclear that current approaches to evaluating or comparing competing software cost or effort models give a realistic picture of how they would perform in actual use. Specifically, we're concerned that the usual practice of using all data with some holdout strategy is at variance with the reality of a data set growing as projects complete. Objective: This study investigates the impact of using unrealistic, though possibly convenient to the researchers, ways to compare models on commercial data sets. Our questions are does this lead to different conclusions in terms of the comparisons and if so,are the results biased e.g., more optimistic than those that might realistically be achieved in practice. Method: We compare a traditional approach based on leave one out cross-validation with growing the data set chronologically using the Finnish and Desharnais data sets. Results: Our realistic, time-based approach to validation is significantly more conservative than leave-one-out cross-validation (LOOCV) for both data sets. Conclusion: If we want our research to lead to actionable findings it's incumbent upon the researchers to evaluate their models in realistic ways. This means a departure from LOOCV techniques, while further investigation is needed for other validation techniques, such as k-fold validation. Â© 2016 ACM.",Cross-validation approaches; Software effort estimation; Software engineering experimentation,Conference Paper,Scopus,2-s2.0-84978535952
"Sholiq, Widodo A.P., Sutanto T., Subriadi A.P.",A model to determine cost estimation for software development projects of small and medium scales using use case points,2016,Journal of Theoretical and Applied Information Technology,85,1,,87,94,yes,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960395675&partnerID=40&md5=b448e0f052615fec9671daeb45d9393e,"Department of Information Systems, Sepuluh Nopember Institute of Technology (ITS), Indonesia; Department of Information System, STMIK STIKOM, Surabaya, Indonesia","Sholiq, Department of Information Systems, Sepuluh Nopember Institute of Technology (ITS), Indonesia; Widodo, A.P., Department of Information Systems, Sepuluh Nopember Institute of Technology (ITS), Indonesia, Department of Information System, STMIK STIKOM, Surabaya, Indonesia; Sutanto, T., Department of Information Systems, Sepuluh Nopember Institute of Technology (ITS), Indonesia, Department of Information System, STMIK STIKOM, Surabaya, Indonesia; Subriadi, A.P., Department of Information Systems, Sepuluh Nopember Institute of Technology (ITS), Indonesia","The purpose of this study was to develop a cost estimation model for software development projects of small and medium scale. The model was derived from the Use Case Points, which is usually used to estimate software development effort. The development of our cost estimation model was based on the need for a reference to the estimated costs for software development projects, particularly software development projects of smallâ€“medium scale. The cost estimation was used to estimate the allocation of resources spent on covering personnel resources, money, and time to complete the project. The result of this study was a cost estimation model for software development projects of smallâ€“medium scale that had been tested with four software projects that had been completed. Testing of the model was performed using data from four projects got level deviations between the estimated cost and the actual cost amounted to 6.89%. Â© 2005-2016 JATIT & LLS. All rights reserved.",Cost estimation model; Effort estimation; Software development project; Use case points,Article,Scopus,2-s2.0-84960395675
"Sharma M., Sharma V., Jain P.",Software development time estimation using neuro- fuzzy approach: A review,2016,International Journal of Control Theory and Applications,9,18,,8919,8925,yes,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006355826&partnerID=40&md5=70dc7cff7b12eb4c14ccab4722b30345,"Department of Computer Science and Engineering, Krishna Institute of Engineering and Technology, Ghaziabad, U.P., India","Sharma, M., Department of Computer Science and Engineering, Krishna Institute of Engineering and Technology, Ghaziabad, U.P., India; Sharma, V., Department of Computer Science and Engineering, Krishna Institute of Engineering and Technology, Ghaziabad, U.P., India; Jain, P., Department of Computer Science and Engineering, Krishna Institute of Engineering and Technology, Ghaziabad, U.P., India","If we have to make a project efficiently and effectively, it is essential for any organization that the project should be completed under the budget, on time and the project should have mandatory excellence. Software processes should be managed efficiently and that requires a measurement of quantification and modelling. The pitiable causes for any software failure may be related to the inefficient estimation of resources and the resources may be like effort, cost, development time etc. So it should be managed effectively and efficiently. In this paper, we deals with a hybrid approach by combining neural networks and fuzzy i,e The Adaptive Neuro-Fuzzy approach for the development time estimation of a software . The proposed approach is based on the estimation of development time of a software and the results will be compared with the existing system. Â© 2016 International Science Press.",ANFIS; Cost and effort estimation; Development time estimation; Software estimation,Review,Scopus,2-s2.0-85006355826
"Satapathy S.M., Kumar M., Rath S.K.",Optimised class point approach for software effort estimation using adaptive neuro-fuzzy inference system model,2016,International Journal of Computer Applications in Technology,54,4,,323,333,yes,,,1,10.1504/IJCAT.2016.080488,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000770450&doi=10.1504%2fIJCAT.2016.080488&partnerID=40&md5=297638b6601144ff848ac484d00c63a8,"Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, India","Satapathy, S.M., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, India; Kumar, M., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, India; Rath, S.K., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, India","The success of software development depends very much on proper estimation of effort required to develop the software. There is no simple way to make an accurate estimate of these parameters required to develop a software system. There are basically some points approach which are available for software effort estimation such as function point, use case point, class point, object point, etc. In this paper, our aim is to estimate the cost of various software projects using class point approach. The parameters are optimised using various soft computing techniques such as fuzzy logic and adaptive neuro-fuzzy logic so as to achieve better accuracy. Also, a comparative analysis of software effort estimation using the techniques such as artificial neural network (ANN), fuzzy logic (FL) and adaptive neuro-fuzzy inference system (ANFIS) has been provided. Â© Copyright 2016 Inderscience Enterprises Ltd.",Adaptive neuro-fuzzy inference system; ANFIS; ANN; Artificial neural network; Class point; Function point; Fuzzy logic; Object-oriented system; Software effort estimation,Article,Scopus,2-s2.0-85000770450
"Satapathy S.M., Acharya B.P., Rath S.K.",Early stage software effort estimation using random forest technique based on use case points,2016,IET Software,10,1,,10,17,yes,,,2,10.1049/iet-sen.2014.0122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958179169&doi=10.1049%2fiet-sen.2014.0122&partnerID=40&md5=89ec15def096f19a2d1ab5ad70b3a3ca,"Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India","Satapathy, S.M., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India; Acharya, B.P., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India; Rath, S.K., Department of Computer Science and Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India","Due to the increasing complexity of software development activities, the need for effective effort estimation techniques has arisen. Underestimation leads to disruption in the project's estimated cost and delivery. On the other hand, overestimation causes outbidding and financial losses in business. Effective software effort estimation techniques enable project managers to schedule the software life cycle activities appropriately. Correctly assessing the effort needed to develop a software product is a major concern in software industries. Random forest (RF) technique is a popularly used machine learning technique that helps in improving the prediction values. The main objective of this study is to precisely assess the software projects development effort by utilising the use case point approach. The effort parameters are optimised utilising the RF technique to acquire higher prediction accuracy. Moreover, the results acquired applying the RF technique is compared with the multi-layer perceptron, radial basis function network, stochastic gradient boosting and log-linear regression techniques to highlight the performance attained by each technique. Â© 2016 The Institution of Engineering and Technology.",,Article,Scopus,2-s2.0-84958179169
"Sarro F., Petrozziello A., Harman M.",Multi-objective software effort estimation,2016,Proceedings - International Conference on Software Engineering,14-22-May-2016,,,619,630,yes,,,3,10.1145/2884781.2884830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971435118&doi=10.1145%2f2884781.2884830&partnerID=40&md5=485453ddecdacdba35f819b10ed637b3,"University College London, London, United Kingdom; University of Portsmouth, Portsmouth, United Kingdom","Sarro, F., University College London, London, United Kingdom; Petrozziello, A., University of Portsmouth, Portsmouth, United Kingdom; Harman, M., University College London, London, United Kingdom","We introduce a bi-objective effort estimation algorithm that combines Confidence Interval Analysis and assessment of Mean Absolute Error. We evaluate our proposed algorithm on three different alternative formulations, baseline comparators and current state-of-the-art effort estimators applied to five real-world datasets from the PROMISE repository, involving 724 different software projects in total. The results reveal that our algorithm outperforms the baseline, state-of-the-art and all three alternative formulations, statistically significantly (p &lt; 0:001) and with large effect size (A12â‰¥ 0:9) over all five datasets. We also provide evidence that our algorithm creates a new state-of-the-art, which lies within currently claimed industrial human-expert-based thresholds, thereby demonstrating that our findings have actionable conclusions for practicing software engineers. Â© 2016 ACM.",Confidence interval; Estimates uncertainty; Multi-objective evolutionary algorithm; Software effort estimation,Conference Paper,Scopus,2-s2.0-84971435118
"Sarno R., Sidabutar J., Sarwosri",Improving the accuracy of COCOMO's effort estimation based on neural networks and fuzzy logic model,2015,"Proceedings of 2015 International Conference on Information and Communication Technology and Systems, ICTS 2015",,,7379898,197,202,yes,,,,10.1109/ICTS.2015.7379898,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964956263&doi=10.1109%2fICTS.2015.7379898&partnerID=40&md5=285da64b5195a7713bd803b8b655ffca,"Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","Sarno, R., Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Sidabutar, J., Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Sarwosri, Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","Constructive Cost Model II (COCOMO II) is investigated as the most popular model for software cost estimation. COCOMO II depends on several variables or Cost Drivers (CD). This research investigates the role of Effort Multiplier (EM) and Line of Code (LOC) to improve the accuracy of cost estimation. Fuzzy Logic has been implemented to the COCOMO II to represent the EM. Furthermore, in order to produce better estimation, this research uses Gaussian Membership Function to redesign the Effort Multiplier by studying the behavior of COCOMO II. This research also applies Neural Network (NN) approach to increase the accuracy of software effort estimation by training the software development datasets. The result is proposed model gives contribution to decrease error significantly. Â© 2015 IEEE.",COCOMO; cost driver; fuzzy; Gaussian membership; neural networks; software cost estimation,Conference Paper,Scopus,2-s2.0-84964956263
"Sarno R., Sidabutar J., Sarwosri",Comparison of different Neural Network architectures for software cost estimation,2015,"Proceeding - 2015 International Conference on Computer, Control, Informatics and Its Applications: Emerging Trends in the Era of Internet of Things, IC3INA 2015",,,7377748,68,73,yes,,,,10.1109/IC3INA.2015.7377748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963677738&doi=10.1109%2fIC3INA.2015.7377748&partnerID=40&md5=ef680229b5b8d0064ebc5cd5afce7785,"Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","Sarno, R., Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Sidabutar, J., Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Sarwosri, Department of Informatics Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","This research will observe the use of Artificial Neural Networks (ANN) for estimating software cost. Constructive Cost Model (COCOMO) is the most famous estimating model for software cost, which will be used in this research. The model estimates software cost by calculating several variables which are created by expert with some equations. Furthermore, ANN helps to estimate COCOMO effort accurately. This research offers multilayer feed-forward neural network to adjust COCOMO effort estimation parameters. Also, an algorithm such as Back-propagation is applied to improve the architecture by comparing actual effort with estimated effort and updating the network. However, there are several types of neural network architecture. This research tries to compare several types of architecture by testing each architecture model to dataset. This paper concerns with two different architectures. The difference of this two architecture is basic architecture only uses effort multipliers as input layer while modified architecture divides input layer into two categories such as effort multipliers and scale factors. The result is the proposed model increases the accuracy and each model has different result. Â© 2015 IEEE.",artificial neural network; back propagation; COCOMO; cost driver; effort estimation; feed forward; neural networks; software cost estimation,Conference Paper,Scopus,2-s2.0-84963677738
"Samareh Moosavi S.H., Khatibi Bardsiri V.",Satin bowerbird optimizer: A new optimization algorithm to optimize ANFIS for software development effort estimation,2017,Engineering Applications of Artificial Intelligence,60,,,1,15,yes,,,,10.1016/j.engappai.2017.01.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009902128&doi=10.1016%2fj.engappai.2017.01.006&partnerID=40&md5=56daa2d00cb38c98853ebba04374dad9,"Department of Computer Engineering, Kerman Branch, Islamic Azad University, Kerman, Iran","Samareh Moosavi, S.H., Department of Computer Engineering, Kerman Branch, Islamic Azad University, Kerman, Iran; Khatibi Bardsiri, V., Department of Computer Engineering, Kerman Branch, Islamic Azad University, Kerman, Iran","Accurate software development effort estimation is crucial to efficient planning of software projects. Due to complex nature of software projects, development effort estimation has become a challenging issue which must be seriously considered at the early stages of project. Insufficient information and uncertain requirements are the main reasons behind unreliable estimations in this area. Although numerous effort estimation models have been proposed during the last decade, accuracy level is not satisfying enough. This paper presents a new model based on a combination of adaptive neuro-fuzzy inference system (ANFIS) and satin bower bird optimization algorithm (SBO) to reach more accurate software development effort estimations. SBO is a novel optimization algorithm proposed to adjust the components of ANFIS through applying small and reasonable changes in variables. The proposed hybrid model is an optimized neuro-fuzzy based estimation model which is capable of producing accurate estimations in a wide range of software projects. The proposed optimization algorithm is compared against other bio inspired optimization algorithms using 13 standard test functions including unimodal and multimodal functions. Moreover, the proposed hybrid model is evaluated using three real data sets. Results show that the proposed model can significantly improve the performance metrics. Â© 2017 Elsevier Ltd",Adaptive Neuro-fuzzy inference system; Development effort estimation; Satin bowerbird optimization algorithm; Software project,Article,Scopus,2-s2.0-85009902128
"Sabrjoo S., Khalili M., Nazari M.",Comparison of the accuracy of effort estimation methods,2015,"Conference Proceedings of 2015 2nd International Conference on Knowledge-Based Engineering and Innovation, KBEI 2015",,,7436134,724,728,yes,,,,10.1109/KBEI.2015.7436134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971422855&doi=10.1109%2fKBEI.2015.7436134&partnerID=40&md5=7f2bedcbe86dbfc43f062cac9c1bcde1,"Dept. of Computer and Informatics Engineering, Payam-e-Noor University, Tehran, Iran","Sabrjoo, S., Dept. of Computer and Informatics Engineering, Payam-e-Noor University, Tehran, Iran; Khalili, M., Dept. of Computer and Informatics Engineering, Payam-e-Noor University, Tehran, Iran; Nazari, M., Dept. of Computer and Informatics Engineering, Payam-e-Noor University, Tehran, Iran","The COCOMO Model is one of the best software cost estimation models. This model is a kind of experimental model which has been made up through gathering data on different software projects, and mainly takes cost and schedule of the project under consideration. But hypotheses presented in early phases will be changing during time, and variable estimations might increase or decrease pre-suggested budget of the project. In this paper, COCOMO Model has been studied as a suggested method of cost and effort estimation. At first, different software effort estimation methods are described and finally, according to accomplished evaluations findings, the optimal COCOMO model is presented. Â© 2015 IEEE.",COCOMO Model; Eybrid Technique Cost Estimation Model; Software Effort Estimation,Conference Paper,Scopus,2-s2.0-84971422855
"Rijwani P., Jain S.",Enhanced Software Effort Estimation Using Multi Layered Feed Forward Artificial Neural Network Technique,2016,Procedia Computer Science,89,,,307,312,yes,,,1,10.1016/j.procs.2016.06.073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986550115&doi=10.1016%2fj.procs.2016.06.073&partnerID=40&md5=9415a97579817ac053702a5f99be01ff,"Institute of Engineering and Technology, JK Lakshmipat University, Jaipur, India","Rijwani, P., Institute of Engineering and Technology, JK Lakshmipat University, Jaipur, India; Jain, S., Institute of Engineering and Technology, JK Lakshmipat University, Jaipur, India",Software Effort Estimation models are hot topic of study over 3 decades. Several models have been developed in these decades. Providing accurate estimations of software is still very challenging. The major reason for such disappointments in projects are because of inaccurate software development norms; effort estimation is one such practice. Dynamically fluctuating environment of technology in software development industry make effort estimation further perplexing. One of the most commonly used algorithmic model for estimating effort in industry is COCOMO. Capability of machine learning particularly Artificial Neural Networks is to adjust a complex set of bond among the various independent and dependent variables. The paper proposes usage of ANN (Artificial Neural Network) based model technologically advanced using Multi Layered Feed Forward Neural Network which is given training with Back Propagation training method. COCOMO data-set is accustomed to test and train the network. Mean-Square-Error (MSE) and Mean Magnitude of Relative-Error (MMRE) are used as performance measurement indices. The experiment outputs suggest that the suggested model can provide better results and accurately forecast the software development effort. Â© 2016 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license.,Artificial Neural Networks; Back Propagation; COCOMO; Effort Estimation,Conference Paper,Scopus,2-s2.0-84986550115
"Rasool R., Malik A.A.",Effort estimation of ETL projects using Forward Stepwise Regression,2015,"Proceedings of 2015 International Conference on Emerging Technologies, ICET 2015",,,7389209,,,yes,,,,10.1109/ICET.2015.7389209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963547188&doi=10.1109%2fICET.2015.7389209&partnerID=40&md5=cb912de0121ccb683e73b6aaa13c890b,"Department of Computer Science, National University of Computer and Emerging Sciences, Lahore, Pakistan","Rasool, R., Department of Computer Science, National University of Computer and Emerging Sciences, Lahore, Pakistan; Malik, A.A., Department of Computer Science, National University of Computer and Emerging Sciences, Lahore, Pakistan","Effort estimation is a key component of planning a software development project. In the past, there has been a lot of research on estimation methods for traditional applications but, unfortunately, these methods do not apply to Extract Transform Load (ETL) projects. Coming up with a systematic effort estimate for ETL projects is a challenging task since ETL development does not follow the traditional Software Development Life Cycle (SDLC). Traditional application development is requirements-driven whereas ETL application development is data-driven. This research paper describes the development of an effort estimation model for ETL projects and compares this model with the most widely used algorithmic effort estimation model i.e. COCOMO II. A dataset comprising 220 industrial projects from five different software houses is used to build this effort estimation model using Forward Stepwise Regression. After eliminating 20 outliers from this dataset, the adjusted R2 (i.e. goodness of fit) of our model is 0.87. The prediction and training accuracy of this model is measured using the de-facto standard accuracy measures such as MMRE and PRED(25). On a training dataset of 200 projects, the training accuracy value of PRED(25) is 81.16% and MMRE is 0.16. Results show that our proposed estimation model provides considerably better estimation accuracy as compared to COCOMO II. On a validation dataset of 58 projects, the value of PRED(25) was 49% for our model as compared to 21% for COCOMO II. Furthermore, the MMRE of our model is 0.31 as compared to 0.99 for COCOMO II. Â© 2015 IEEE.",COCOMO II; Data Warehousing; Effort Estimation; Estimation Accuracy; ETL; Forward Stepwise Regression; Project Management; Software Cost Estimation,Conference Paper,Scopus,2-s2.0-84963547188
