Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,label,Issue Date,Meeting Date,Publisher,Document Identifier
Analysis on the Scheduling Problem in Transparent Computing,R. Ju; Z. Yaoxue; C. Jianer,"Coll. of Inf. Sci. & Eng., Central South Univ., Changsha, China",2013 IEEE 10th International Conference on High Performance Computing and Communications & 2013 IEEE International Conference on Embedded and Ubiquitous Computing,20140612,2013,,,1832,1837,"Transparent computing has received increasing attention recently. As a variation and implementation of cloud computing, scheduling is destined to be one of the most hot topics for performance optimization. In this paper, we focus on a typical transparent computing platform, where a number of clients are connected with a server cluster in a gigabit LAN. Due to the NP-completeness of the scheduling problem on parallel processors, the optimal scheduling solution of TC can not be achieved in polynomial time. To find an efficient scheduling algorithm, We present two approximation algorithms and analysed their upper bounds theoretically. Though the analytic results are less than satisfactory, the practical performances of the proposed algorithms are demonstrated to be acceptable by extensive simulations.",,Electronic:978-0-7695-5088-6; POD:978-1-4799-0973-5,10.1109/HPCC.and.EUC.2013.263,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6832145,NP-complete;optimization;scheduling;transparent computing,Algorithm design and analysis;Optimal scheduling;Optimized production technology;Scheduling;Scheduling algorithms;Servers,approximation theory;cloud computing;computational complexity;file servers;local area networks;optimisation;scheduling;software performance evaluation,approximation algorithms;cloud computing;gigabit LAN;performance optimization;scheduling problem NP-completeness;server cluster;transparent computing platform,,0,,15,,no,13-15 Nov. 2013,,IEEE,IEEE Conference Publications
Analytic Hierarchy process selection for batteries storage technologies,F. Ben Ammar; I. H. Hafsa; F. Hammami,Laboratoire M.M.A - INSAT - Centre Urbain Nord BP N&#x00B0;676 1080 Tunis - Universit&#x00E9; de Carthage,2013 International Conference on Electrical Engineering and Software Applications,20130815,2013,,,1,6,"The objective of this study is to select the most appropriate battery technology for photovoltaic application. However, the selection criteria and the diversity of technologies make choice difficult. So, we focus on the Analytic Hierarchy Process which is among the most widely used and has been applied in several multicriteria decision making domains.",,Electronic:978-1-4673-6301-3; POD:978-1-4673-6302-0,10.1109/ICEESA.2013.6578374,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578374,AHP;Battery technology;multi criteria;selection,Analytic hierarchy process;Batteries;Discharges (electric);Lead;Vectors,analytic hierarchy process;battery storage plants;photovoltaic power systems,analytic hierarchy process selection;battery storage technology;multicriteria decision making domain;photovoltaic application,,0,,17,,no,21-23 March 2013,,IEEE,IEEE Conference Publications
Analytic results for efficient computation of the Nuttall-Q and incomplete Toronto functions,P. C. Sofotasios; K. Ho-Van; T. D. Anh; H. D. Quoc,"Sch. of Electron. & Electr. Eng., Univ. of Leeds, Leeds, UK",2013 International Conference on Advanced Technologies for Communications (ATC 2013),20140102,2013,,,420,425,"This work is devoted to the derivation of novel analytic results for special functions which are particularly useful in wireless communication theory. Capitalizing on recently reported series representations for the Nuttall Q-function and the incomplete Toronto function, we derive closed-form upper bounds for the corresponding truncation error of these series as well as closed-form upper bounds that under certain cases become accurate approximations. The derived expressions are tight and their algebraic representation is rather convenient to handle analytically and numerically. Given that the Nuttall-Q and incomplete Toronto functions are not built-in in popular mathematical software packages, the proposed results are particularly useful in computing these functions when employed in applications relating to natural sciences and engineering, such as wireless communication over fading channels.",2162-1020;21621020,Electronic:978-1-4799-1089-2; POD:978-1-4799-1087-8,10.1109/ATC.2013.6698148,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6698148,,Approximation methods;Equations;Fading;Finite wordlength effects;Software packages;Telecommunications;Upper bound,approximation theory;fading channels,Nuttall-Q function;algebraic representation;closed-form upper bounds;engineering;fading channels;incomplete Toronto function;natural sciences;truncation error;wireless communication theory,,4,,43,,no,16-18 Oct. 2013,,IEEE,IEEE Conference Publications
Analytical analysis of magnetic field of eddy-current driver based on equivalent current method,Tongyu Shi; D. Wang; Z. Liu; Songning Shi,"Sch. of Inf. Sci. & Eng., Northeastern Univ., Shenyang, China","Proceedings 2013 International Conference on Mechatronic Sciences, Electric Engineering and Computer (MEC)",20140828,2013,,,3321,3325,"According to the structure parameters of the eddy-current driver, this paper established the magnetic field analytical model of eddy-current driver by utilizing the method of equivalent surface current. We calculated and analyzed the magnetic field of the eddy-current driver with the help of the MATLAB simulation software. The purpose was to explore the regularity of analytical model of magnetic field. Then the result was compared with that of finite element method and measured values. The compared result showed that the space distribution of the axial magnetic field on the surface of copper conductor plate of eddy current drive was periodically distributed along the circumferential Angle. The error of analytic method is less than that of the numerical solution method.",,CD-ROM:978-1-4799-2563-6; Electronic:978-1-4799-2565-0; POD:978-1-4799-2566-7,10.1109/MEC.2013.6885590,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6885590,analytical analysis;eddy-current driver;equivalent surface current;magnetic field,Copper;Eddy currents;Educational institutions;Magnetic fields;Magnetic flux density;Permanent magnets;Rotors,copper;digital simulation;drives;eddy currents;magnetic fields;mechanical engineering computing,MATLAB simulation software;analytical analysis;axial magnetic field;copper conductor plate;eddy-current driver;equivalent current method;equivalent surface current;magnetic field analytical model;space distribution;structure parameters,,0,,14,,no,20-22 Dec. 2013,,IEEE,IEEE Conference Publications
Analytical modelling of the current (I)-voltage (V) characteristics of sub-micron gate-length ion-implanted GaAs MESFETs under dark and illuminated conditions,S. Tripathi; S. Jit,"Centre for Research in Microelectronics (CRME), Department of Electronics Engineering, Indian Institute of Technology, (Banaras Hindu University), Varanasi 221005, India","IET Circuits, Devices & Systems",20130613,2013,7,1,42,60,"An analytical model for current (I)-voltage (V) characteristics of a short-channel ion-implanted GaAs MESFET has been presented for dark and illuminated conditions. For the sake of simplicity, the non-analytic (i.e. non-integral) Gaussian doping function commonly considered for the channel doping of an ion-implanted GaAs metal semiconductor field effect transistor (MESFET) has been replaced by an analytic Gaussian-like doping profile in the vertical direction. The device uses an indium-tin oxide-based Schottky gate through which an optical radiation of 0.87 ë_m wavelength is coupled from an external source into the device to modulate the I-V characteristics of the short-gate length GaAs MESFET. The coupled light generates electron-hole pairs in the active channel region below the gate and develops a photovoltage across the Schottky gate-channel junction and modulates the device characteristics. This study also includes the modelling of this photovoltaic effect by taking the short-gate length effects into consideration. The developed model includes the effects of doping profile and device parameters on the drain current of the short-channel ion-implanted GaAs MESFETs under dark and illuminated conditions of operations. The accuracy of the proposed model is extensively verified by comparing the theoretically predicted results with numerical simulation data obtained by using the commercially available ATLASTM device simulation software.",1751-858X;1751858X,,10.1049/iet-cds.2012.0145,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6531070,,,,,,0,,,,no,Jan. 2013,,IET,IET Journals & Magazines
Analytical performance analysis of mesh network-on-chip based on network calculus,N. Moussa; R. Tourki,,"2013 International Conference on Control, Decision and Information Technologies (CoDIT)",20131223,2013,,,325,329,"The design of on chip interconnection architecture (NoC) should carefully take on consideration both hardware and communication constraints in order to built up a system that meets quality of service requirements. In NoC architecture, the on chip switch available hardware and software resources drive up the global performances of communication processes. Therefore it is crucial, before the physical design process, to carry out the required capacities such as buffer depth and management-tasks of a flit. In fact, one of the most critical parameters that can affect communication characteristics are the available memory space in addition to flit-time processing according to a given scheduling approach. This paper deals with these concepts. It presents a study of NoC switch using Network Calculs (NC) theory. It provides an analytic model of the internal on chip switch architecture to study the performance with a mathematical approach. This helps to specify the best physical and logical characteristics that can achieve enhanced performances.",,Electronic:978-1-4673-5549-0; POD:978-1-4673-5548-3,10.1109/CoDIT.2013.6689565,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6689565,Network Calculs(NC);Network on chip (NoC);QualitÌ© de Service (QoS),Computer architecture;Delays;Equations;Mathematical model;Multiplexing;Routing;Switches,calculus of communicating systems;network-on-chip;performance evaluation,NoC architecture;NoC switch;chip interconnection architecture;communication processes;flit time processing;hardware resources;management tasks;memory space;mesh network on chip;network calculus theory;on chip switch;performance analysis;scheduling;software resources,,0,,13,,no,6-8 May 2013,,IEEE,IEEE Conference Publications
Analytics for Product Planning: In-Depth Interview Study with SaaS Product Managers,F. Fotrousi; K. Izadyan; S. A. Fricker,"Sch. of Comput., Blekinge Inst. of Technol., Karlskrona, Sweden",2013 IEEE Sixth International Conference on Cloud Computing,20140217,2013,,,871,879,"SaaS cloud computing, in contrast to packaged products, enables permanent contact between users of a software product and the product-owning company. When planning the development and evolution of a software product, a product manager depends on reliable information about feature attractiveness. So far, planning decisions were based on stakeholder opinion and the customer's willingness to buy. Whether or not a feature actually is used was out of consideration. Analytics that measure the interaction between users and the SaaS gives product managers unprecedented access to information about product usage. To understand whether and how SaaS analytics can be used for product planning decision, we performed 17 in-depth interviews with experienced managers of SaaS products and analyzed the results analyzed with a mixed-method strategy. The empirical results characterize the relevance of a broad range of analytics for product planning decisions, and the strengths and limitations of an analytics-based product planning approach.",2159-6182;21596182,Electronic:978-0-7695-5028-2; POD:978-1-4799-0490-7,10.1109/CLOUD.2013.33,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6740237,SaaS;Software product management;analytics;decision-making;product planning,Business;Interviews;Planning;Quality of service;Software as a service;Usability,DP industry;cloud computing;customer services;production planning;software management;software reliability,SaaS analytics;SaaS cloud computing;SaaS product managers;analytics-based product planning approach;customer willingness;mixed-method strategy;packaged products;product planning decision;product-owning company;reliable information;software product,,2,,66,,no,June 28 2013-July 3 2013,,IEEE,IEEE Conference Publications
"Analytics over Big Data: Exploring the Convergence of DataWarehousing, OLAP and Data-Intensive Cloud Infrastructures",A. Cuzzocrea,"ICAR, Univ. of Calabria, Rende, Italy",2013 IEEE 37th Annual Computer Software and Applications Conference,20131031,2013,,,481,483,"This paper explores the convergence of Data Warehousing, OLAP and data-intensive Cloud Infrastructures in the context of so-called analytics over Big Data. The paper briefly reviews some state-of-the-art proposals, highlights open research issues and, finally, it draws possible research directions in this scientific field.",,Electronic:978-0-7695-4986-6; POD:978-1-4673-6494-2,10.1109/COMPSAC.2013.152,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6649871,Big Data; Data Warehousing and OLAP over Big Data; Data-Intensive Cloud Infrastructures,Bismuth;Context;Convergence;Data handling;Data storage systems;Information management;Warehousing,cloud computing;data mining;data warehouses,OLAP;big data analytics;data warehousing;data-intensive cloud infrastructures,,5,,11,,no,22-26 July 2013,,IEEE,IEEE Conference Publications
Animating signing avatar using descriptive sign language,N. Ben Yahia; M. Jemni,"High School of Sciences and Techniques of Tunis Research Laboratory: Information Technology and Communication & Electrical Engineering (Latice) Tunis, Tunisia",2013 International Conference on Electrical Engineering and Software Applications,20130815,2013,,,1,5,"This paper proposes an interactive manipulation of signing avatar (complex human's figures) by means of a descriptive sign language. The objective is to improve the human-computer communication, to generate precise signs for Deaf community, to control and animate the virtual character. This approach has been developed to manipulate robots through several analytic and numerical resolution methods. These methods have been applied to the virtual character for better monitoring and to ensure a realistic animation in real time.",,Electronic:978-1-4673-6301-3; POD:978-1-4673-6302-0,10.1109/ICEESA.2013.6578385,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578385,Animation;Avatar;Gesture;Sign language,Animation;Assistive technology;Avatars;Gesture recognition;Joints;Kinematics;Mathematical model,avatars;computer animation;human computer interaction;numerical analysis,analytic method;deaf community;descriptive sign language;human-computer communication;interactive signing avatar manipulation;numerical resolution method;robot manipulation;signing avatar animation;virtual character,,0,,31,,no,21-23 March 2013,,IEEE,IEEE Conference Publications
Aperture: An Open Web 2.0 Visualization Framework,D. Jonker; S. Langevin; N. Bozowsky; W. Wright,,2013 46th Hawaii International Conference on System Sciences,20130318,2013,,,1485,1494,"Aperture is an open, adaptable and extensible Web 2.0 visualization framework, designed to produce visualizations for analysts and decision makers in any common web browser. Aperture utilizes a novel layer based approach to visualization assembly, and a data mapping API that simplifies the process of adaptable transformation of data and analytic results into visual forms and properties. This common visual layer and data mapping API, combined with core elements such as contextually derivable color palettes, layout and symbol ontology services is designed to enable highly creative and expressive visual analytics, rapidly and with less effort. This paper introduces the Aperture framework, describing key features of the programming API and reference implementation, presents example use cases, and proposes an approach for measuring technical performance metrics for software development, and operational performance metrics for visualization support of analysis and decision making.",1530-1605;15301605,Electronic:978-1-5090-5646-0; POD:978-1-4673-5933-7; USB:978-0-7695-4892-0,10.1109/HICSS.2013.96,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480018,agile;big data;framework;toolkit;visual analytics;visualization,Apertures;Assembly;Data visualization;Image color analysis;Visual analytics,Internet;application program interfaces;data analysis;data visualisation;decision making;online front-ends;ontologies (artificial intelligence);software metrics;software performance evaluation,Open Web 2.0 visualization framework;Web browser;adaptable data transformation;aperture framework;contextually derivable color palettes;creative visual analytics;data mapping API;decision making;expressive visual analytics;layer based approach;operational performance metrics;programming API;reference implementation;software development;symbol ontology services;technical performance metrics;visual layer;visualization assembly,,2,,27,,no,7-10 Jan. 2013,,IEEE,IEEE Conference Publications
App Analytic: A Study on Correlation Analysis of App Ranking Data,S. Y. Ihm; W. K. Loh; Y. H. Park,"Dept. of Multimedia Sci., Sookmyung Women's Univ., Seoul, South Korea",2013 International Conference on Cloud and Green Computing,20131219,2013,,,561,563,"In recent years, app store and android market have experienced a significant growth in terms of app numbers. Since we discover 85% of apps through the ranks, it is important to develop effective app ranking analyzing tools. In this paper, we present a method called App Analytic. In our method, we explore correlations of app ranking data about popular social networking sites. Specifically, we analyze correlations between various characteristics of social networking sites on Internet and android market. The results of correlation analysis reveal that there is a strong positive correlation of the number of app downloads with the number of registered users and page rank. We also provide an in-depth analysis on the major factors that impact the correlations.",,Electronic:978-0-7695-5114-2; POD:978-1-4799-1362-6,10.1109/CGC.2013.95,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6686087,R statistical software;app ranking data;correlation analysis,Androids;Correlation;Humanoid robots;Internet;Smart phones;Social network services;Software,Android (operating system);Internet;data analysis;social networking (online),App Analytic;App ranking analyzing tools;App ranking data;App store;Internet;android market;correlation analysis;social networking sites,,0,1,4,,no,Sept. 30 2013-Oct. 2 2013,,IEEE,IEEE Conference Publications
Application management services analytics,Y. Li; T. H. Li; R. Liu; J. Yang; J. Lee,"IBM T. J. Watson Research Center, Yorktown Heights, NY, U.S.A","Proceedings of 2013 IEEE International Conference on Service Operations and Logistics, and Informatics",20130926,2013,,,366,371,"Enterprises often maintain many IT applications to support their business. Application Management Services (AMS) aim to maintain high levels of service quality and availability by restoring normal application service operations and minimizing negative business impact. In this paper, we present the AMS Analytics System for improving the productivity and quality of delivery for AMS practices. Issues regarding IT applications are formally referred as IT incidents or tickets, which are an important vehicle for measuring quality of AMS. IT incident ticket analytics, an important component of of the analytics system, measures workload variability, resource productivity and delivery performance using algorithms from statistics, queuing theory, data clustering and signal processing. The AMS Analytics System provides a standardized, integrated analytics platform supporting AMS delivery. It is built on a Web platform using a set of standard open stack software, enhanced with advanced analytics. Since its initial release, we have applied the AMS Analytics System to several dozens of real-world enterprise users, receiving very positive feedback.",,Electronic:978-1-4799-0530-0; POD:978-1-4799-0528-7,10.1109/SOLI.2013.6611442,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6611442,Application management services;IT incident analysis;IT incident tickets;IT incidents;incident management,Data models;Maintenance engineering;Market research;Productivity;Resource management;Standards,business data processing;information technology;productivity,AMS analytics system;AMS delivery;AMS practices;IT applications;IT incident ticket analytics;Web platform;application management services analytics;data clustering;delivery performance;enterprises;negative business impact;normal application service operations;productivity;quality of delivery;queuing theory;service quality;signal processing;standard open stack software;standardized integrated analytics platform;statistics;workload variability,,3,,11,,no,28-30 July 2013,,IEEE,IEEE Conference Publications
Approximate computing: Energy-efficient computing with good-enough results,A. Raghunathan; K. Roy,"Purdue University, West Lafayette, IN 47906",2013 IEEE 19th International On-Line Testing Symposium (IOLTS),20130919,2013,,,258,258,"Summary form only given. With the explosion in digital data, computing platforms are increasingly being used to execute applications (such as web search, data analytics, sensor data processing, recognition, mining, and synthesis) for which ‰ÛÏcorrectness‰Ûù is defined as producing results that are good enough, or of sufficient quality. Such applications invariably demonstrate a high degree of inherent resilience to their underlying computations being executed in an approximate manner. This inherent resilience is due to several factors including redundancy in the input data, the statistical nature of the computations themselves, and the acceptability (often, inevitability) of less-than-perfect results. Approximate computing is an approach to designing systems that are more efficient, by leveraging the inherent resilience of applications. We will outline a range of approximate computing techniques that we have developed from software to architecture to circuits, which have shown promising results. We conclude with a discussion of some of the challenges that need to be addressed to facilitate a broader adoption of approximate computing.",1942-9398;19429398,Electronic:978-1-4799-0664-2; POD:978-1-4799-0663-5; USB:978-1-4799-0662-8,10.1109/IOLTS.2013.6604092,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6604092,,Data mining;Data processing;Educational institutions;Energy efficiency;Explosions;Resilience;Web search,power aware computing;statistical analysis,approximate computing techniques;digital data;energy-efficient computing;good-enough results;input data redundancy;statistical computation nature,,1,,,,no,8-10 July 2013,,IEEE,IEEE Conference Publications
Archetypical motion: Supervised game behavior learning with Archetypal Analysis,R. Sifa; C. Bauckhage,Game Analytics and University of Bonn,2013 IEEE Conference on Computational Inteligence in Games (CIG),20131017,2013,,,1,8,"The problem of creating believable game AI poses numerous challenges for computational intelligence research. A particular challenge consists in creating human-like behaving game bots by means of applying machine learning to game-play data recorded by human players. In this paper, we propose a novel, biologically inspired approach to behavior learning for video games. Our model is based on the idea of movement primitives and we use Archetypal Analysis to determine elementary movements from data in order to represent any player action in terms of convex combinations of archetypal motions. Given these representations, we use supervised learning in order to create a system that is able to synthesize appropriate motion behavior during a game. We apply our model to teach a first person shooter game bot how to navigate in a game environment. Our results indicate that the model is able to simulate human-like behavior at lower computational costs than previous approaches.",2325-4270;23254270,Electronic:978-1-4673-5311-3; POD:978-1-4673-5310-6,10.1109/CIG.2013.6633609,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6633609,,Biological system modeling;Computational modeling;Games;History;Training;Vectors,computer games;learning (artificial intelligence);software agents,archetypal analysis;archetypal motion;archetypical motion;believable game AI;biologically inspired approach;computational intelligence;convex combination;elementary movement determination;first person shooter game bot teaching;game environment navigation;game-play data;human players;human-like behaving game bot;machine learning;motion behavior synthesis;movement primitives;player action representation;supervised game behavior learning;supervised learning;video game,,6,,22,,no,11-13 Aug. 2013,,IEEE,IEEE Conference Publications
Architecture Security Evaluation Method Based on Security of the Components,C. Du; X. Li; H. Shi; J. Hu; R. Feng; Z. Feng,"Dept. of Comput. Sci. & Technol., Tianjin Univ., Tianjin, China",2013 20th Asia-Pacific Software Engineering Conference (APSEC),20140428,2013,1,,523,528,"This paper presents a quantitative architecture security evaluation method to identify potential risks of an architecture. The method is based on security of the architecture components. In this method, components of the architecture are classified and their security measures are identified according to component function and architecture level. Then, an integration process applies analytic hierarchy process (AHP) and fuzzy evaluation analysis to determine quantitative and qualitative factors in evaluating the security of components. These factors are used to obtain security conclusions of the architecture. The experiment shows that the method not only improves efficiency of the evaluation, but also makes security evaluation process more objective and accurate.",1530-1362;15301362,CD-ROM:978-1-4799-2143-0; Electronic:978-1-4799-2144-7; POD:978-1-4799-2145-4,10.1109/APSEC.2013.75,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6805446,AHP;Fuzzy evaluation analysis;architecture;component;security evaluation,Access control;Authentication;Business;Computer architecture;Encryption;Vectors,analytic hierarchy process;fuzzy set theory;object-oriented programming;safety-critical software;software architecture,AHP;analytic hierarchy process;architecture level;component function;efficiency improvement;fuzzy evaluation analysis;integration process;qualitative factors;quantitative architecture security evaluation method;quantitative factors;risk identification;security measures,,0,,16,,no,2-5 Dec. 2013,,IEEE,IEEE Conference Publications
Architecture-Based Adaptivity Support for Service Oriented Scientific Workflows,Y. Liu; I. Gorton; A. Wynne,"Concordia Univ., Montreal, QC, Canada",2013 IEEE Seventh International Symposium on Service-Oriented System Engineering,20130610,2013,,,309,314,"Adaptivity is the ability of a program to change its behavior automatically according to its context. Programs over multiple scientific workflows and analytic domains have similar needs of adaptivity to handle data intensive computing. These include dynamically selecting analytical models or processes according to data sets at runtime, handling exceptions to make long running workflows reliable, and reducing large volumes of data to a suitable form for visualization. Architecture support to reuse these adaptive techniques across different scientific domains helps to enhance the workflows' efficiency, extensibility and reliability. In this paper, a service oriented architecture framework is presented to compose adaptive scientific workflows. This framework has a core of service components and mechanisms that eases the interoperation between disparate workflows and programs that encapsulate the adaptive control logic. The uses of this framework are demonstrated by scientific workflow scenarios.",,Electronic:978-0-7695-4944-6; POD:978-1-4673-5659-6,10.1109/SOSE.2013.37,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525537,SOA;adaptive software;scientific workflow,Adaptation models;Adaptive control;Buildings;Connectors;Meteorology;Monitoring;Pipelines,service-oriented architecture;software reliability,adaptive control logic;adaptive scientific workflow;architecture-based adaptivity support;data intensive computing;service oriented architecture;service oriented scientific workflow,,0,,14,,no,25-28 March 2013,,IEEE,IEEE Conference Publications
Are Software Analytics Efforts Worthwhile for Small Companies? The Case of Amisoft,R. Robbes; R. Vidal; M. C. Bastarrica,University of Chile,IEEE Software,20130903,2013,30,5,46,53,"Amisoft, a Chilean software company with 43 employees, successfully uses software analytics in its projects. These support a variety of strategic and tactical decisions, resulting in less overwork of employees. However, the analytics done at Amisoft are very different from the ones used in larger companies.",0740-7459;07407459,,10.1109/MS.2013.92,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6544520,Amisoft;Companies;Product development;Software analytics;analytics viability;small businesses;software analytics,Companies;Product development;Software analytics,project management;small-to-medium enterprises;software development management;software houses;software maintenance;software metrics,Amisoft;Chilean software company;employee overwork;small companies;software analytics;strategic decision;tactical decision,,1,,8,,no,Sept.-Oct. 2013,,IEEE,IEEE Journals & Magazines
Assessment of student's learning style and engagement in traditional based software engineering education,N. Pratheesh; T. Devi,"Department of Computer Applications School of Computer Science and Engineering Bharathiar University, Coimbatore - 641 046, India",2013 International Conference on Intelligent Interactive Systems and Assistive Technologies,20130923,2013,,,25,31,"Software Engineering courses are nucleus elements of the Computer Science syllabus. While the main aspire of such courses is to give students practical industry-relevant ‰ÛÏsoftware engineering in the large‰Ûù familiarity, frequently such courses plummet short of this significant intention owed to be short of industrial experience and support infrastructure, degenerating the course into ‰ÛÏone big coding assignment‰Ûù. Therefore, it is obligatory to design and develop improved infrastructure support for teaching or taking such courses. This would benefit instructors and students communities in computer science atmosphere. Learning analytics lend a hand to the learners to enhance their learning tricks. This was scrutinized among the software engineering students how the learning style and learning engagement sways in gathering knowledge. This paper discusses the importance of learning analytics in software engineering education especially the learning style, learning engagement and its influences in this domain.",,Electronic:978-1-4799-0476-1; POD:978-1-4799-0477-8,10.1109/IISAT.2013.6606434,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606434,Collaborative Learning;Learning Analytics;Learning Style;Social Learning Analytics;Software Engineering Education,Computer science;Education;Industries;Knowledge engineering;Software;Software engineering;Standards,computer science education;educational courses;software engineering,computer science atmosphere;computer science syllabus;industrial experience;learning analytics;learning engagement;software engineering courses;software engineering education;software engineering students;student learning style,,0,,24,,no,2-3 Aug. 2013,,IEEE,IEEE Conference Publications
Assisting developers of Big Data Analytics Applications when deploying on Hadoop clouds,W. Shang; Z. M. Jiang; H. Hemmati; B. Adams; A. E. Hassan; P. Martin,"Software Analysis and Intelligence Lab (SAIL), School of Computing, Queen's University, Kingston, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,402,411,"Big data analytics is the process of examining large amounts of data (big data) in an effort to uncover hidden patterns or unknown correlations. Big Data Analytics Applications (BDA Apps) are a new type of software applications, which analyze big data using massive parallel processing frameworks (e.g., Hadoop). Developers of such applications typically develop them using a small sample of data in a pseudo-cloud environment. Afterwards, they deploy the applications in a large-scale cloud environment with considerably more processing power and larger input data (reminiscent of the mainframe days). Working with BDA App developers in industry over the past three years, we noticed that the runtime analysis and debugging of such applications in the deployment phase cannot be easily addressed by traditional monitoring and debugging approaches. In this paper, as a first step in assisting developers of BDA Apps for cloud deployments, we propose a lightweight approach for uncovering differences between pseudo and large-scale cloud deployments. Our approach makes use of the readily-available yet rarely used execution logs from these platforms. Our approach abstracts the execution logs, recovers the execution sequences, and compares the sequences between the pseudo and cloud deployments. Through a case study on three representative Hadoop-based BDA Apps, we show that our approach can rapidly direct the attention of BDA App developers to the major differences between the two deployments. Knowledge of such differences is essential in verifying BDA Apps when analyzing big data in the cloud. Using injected deployment faults, we show that our approach not only significantly reduces the deployment verification effort, but also provides very few false positives when identifying deployment failures.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606586,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606586,Big-Data Analytics Application;Cloud Computing;Hadoop;Log Analysis;Monitoring and Debugging,Context;Data handling;Data storage systems;Information management;Joining processes;Keyword search;Programming,cloud computing;data analysis;formal verification;parallel processing;program debugging;public domain software;software fault tolerance;system monitoring,Hadoop clouds;Hadoop-based BDA Apps;big data analysis;big data analytics applications;cloud deployments;deployment verification effort reduction;developer assistance;execution log abstraction;execution sequence recovery;parallel processing frameworks;software applications,,14,,26,,no,18-26 May 2013,,IEEE,IEEE Conference Publications
Attitude Control of Five Degrees of Freedom Air-Bearing Platform Based on Fractional Order Sliding Mode,D. Liwei; S. Shenmin; G. Yong,"Center for Control Theor. & Guidance Technol., Harbin Inst. of Technol., Harbin, China","2013 Third International Conference on Instrumentation, Measurement, Computer, Communication and Control",20140623,2013,,,1530,1534,"Spacecraft attitude determination and control hard verification and software development can be simultaneously simulated with five degrees of freedom air-bearing spacecraft simulator. In this paper, a new robust fractional order sliding mode controller is proposed for simulator attitude control with control input limited amplitude under considering gravity unbalance torque disturbance and actuator assembling error. The attitude system can convergence to fractional order sliding mode surface within the finite time, which is proven by using fractional order Lyapunov stability theory. Furthermore, numerical simulations are also included to reinforce the analytic results and to validate the excellent effect of the new robust fractional sliding mode controller.",,Electronic:978-0-7695-5122-7; POD:978-1-4799-1393-0,10.1109/IMCCC.2013.341,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6840731,air-bearing platform;fractional calculus;fractional order sliding;spacecraft attitude,Angular velocity;Attitude control;Gravity;Sliding mode control;Space vehicles;Torque,Lyapunov methods;actuators;aircraft control;attitude control;numerical analysis;robust control;variable structure systems,actuator assembling error;amplitude;attitude system;finite time;five degrees of freedom air-bearing spacecraft simulator;fractional order Lyapunov stability theory;gravity unbalance torque disturbance;numerical simulations;robust fractional order sliding mode controller;simulator attitude control;software development;spacecraft attitude determination;verification,,0,,12,,no,21-23 Sept. 2013,,IEEE,IEEE Conference Publications
