"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&",2016/07/08 15:38:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"AC current shunts for large current at high frequency","Liu Yue; Zhang Xiu-Zeng; Zhao Hong-Gang; Zheng lian-Ying; Zou Ben-Xia","Division of Electricity and Quantum Metrology, National Institute of Metrology, No.18, Bei San Huan Dong Lu, Chaoyang Dist., Beijing, China, 100013","CPEM 2010","20100809","2010","","","601","602","New AC current shunts are developed, which are designed for measuring AC current up to 50 A, 50 kHz. Due to the effect of parasitic parameter, the calibration accuracy of large AC current at high frequency is not as high as the AC current of normal range. About the large AC current at high frequency, the accuracy mostly depends on inductive impedance influence.","0589-1485;05891485","978-1-4244-6795-2;9781424467952","","10.1109/CPEM.2010.5543250","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5543250","","Current measurement;Frequency measurement;Frequency response;Inductance;Lead;Metrology;Packaging;Resistors;Shunt (electrical);Surface impedance","calibration;electric current measurement;resistors","AC current mesaurement;AC current shunt design;calibration;inductive impedance;parasitic parameter effect;surface mounting resistors","","0","","","","","13-18 June 2010","","IEEE","IEEE Conference Publications"
"Media access protocols for high speed data bus-a simulation study","S. L. Kota; J. D. Kallaus","Lockheed Missiles & Space Co. Inc., Sunnyvale, CA, USA","Military Communications Conference, 1992. MILCOM '92, Conference Record. Communications - Fusing Command, Control and Intelligence., IEEE","20020806","1992","","","1003","1010 vol.3","The authors discuss a high-speed data bus for satellite (HSDB-S) architecture and evaluate media access control (MAC) protocols. They simulated the fiber distributed data interface (FDDI) protocol, which is applicable to HSDB, for asynchronous and synchronous traffic in terms of throughput, delay, queue length, and station latency. They propose a deferred priority protocol and compare throughput-delay performance with preemptive priority and normal (FDDI) priority protocols. The deferred priority protocol is shown to provide better throughput than the preemptive priority protocol, but results in less delay performance for highest-priority messages. For lowest-priority traffic, the preemptive priority protocol provides the least throughput, and the worst delay performance","","0-7803-0585-X;078030585X","","10.1109/MILCOM.1992.243957","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=243957","","Access protocols;Aerospace electronics;Delay;FDDI;Media Access Protocol;Military aircraft;Optical fibers;Spine;Switching circuits;Token networks","FDDI;aerospace computing;digital simulation;high-speed optical techniques;military systems;network interfaces;protocols;satellite relay systems;telecommunications computing","MAC protocols;asynchronous traffic;deferred priority protocol;delay;high speed data bus;media access control;military satellite systems;preemptive priority protocol;queue length;simulation;station latency;synchronous traffic;throughput","","0","1","12","","","11-14 Oct 1992","11 Oct 1992-14 Oct 1992","IEEE","IEEE Conference Publications"
"Comparison study between [AC and DC] {extra & ultra} high voltages over head transmission lines for interconnection","N. T. El-fikky","","Transmission and Distribution Conference and Exposition, 2001 IEEE/PES","20020806","2001","1","","37","46 vol.1","The interconnection between two power system networks or more is important and will be of significant assistance to the power networks during steady state of operation and also in case of emergency. This paper presents a comparative study between AC and DC EHV/UHV overhead power transmission lines for interconnection applications","","0-7803-7285-9;0780372859","","10.1109/TDC.2001.971206","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=971206","","Transmission lines;Voltage","HVDC power transmission;flexible AC transmission systems;power overhead lines;power system interconnection","AC power transmission;DC power transmission;EHV power lines;UHV power lines;interconnected power systems;power overhead lines","","2","","","","","2001","28 Oct 2001-02 Nov 2001","IEEE","IEEE Conference Publications"
"Model-predictive direct power control of AC/DC converters with one step delay compensation","J. Hu; J. Zhu; G. Platt; D. G. Dorrell","School of Electrical, Mechanical and Mechatronic Systems, University of Technology, Sydney, Australia","IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society","20121220","2012","","","4892","4897","This paper presents a model-predictive direct power control (MPDPC) strategy for a three-phase pulse width modulation (PWM) rectifier. The controller uses a system model to predict the system behavior on each sampling interval for each voltage vector. A cost function is then used to evaluate the active and reactive power ripples, from which the vector that generates the lowest power ripple will be applied during the next sampling interval. In addition, the influence of a one-step delay in the digital implementation is investigated and this is compensated for using a predictive scheme. The main advantages of the proposed strategy are that there is no need to use a switching table for voltage vector positioning, the power ripple is reduced, and the system displays excellent steady-state and dynamic performance. The proposed MPDPC was validated both in simulation, using MATLAB/Simulink, and experimentally, with a 5 kVA laboratory AC/DC converter.","1553-572X;1553572X","978-1-4673-2419-9;9781467324199","978-1-4673-2420-5;9781467324205","10.1109/IECON.2012.6388993","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6388993","","DC-DC power converters;ISO standards;MATLAB","AC-DC power convertors;PWM rectifiers;compensation;delays;predictive control;reactive power control","AC-DC converters;MPDPC strategy;Matlab-Simulink simulation;PWM rectifier;active power ripples;apparent power 5 kVA;cost function;model-predictive direct power control;one step delay compensation;predictive scheme;reactive power ripples;system behavior prediction;three-phase pulse width modulation rectifier;voltage vector;voltage vector positioning","","3","","10","","","25-28 Oct. 2012","","IEEE","IEEE Conference Publications"
"A Fast Video Noise Reduction Method by Using Object-Based Temporal Filtering","T. H. Chen; Z. H. Lin; C. H. Chen; C. L. Kao","Nat. Kaohsiung Univ. of Appl. Sci., Kaohsiung","Intelligent Information Hiding and Multimedia Signal Processing, 2007. IIHMSP 2007. Third International Conference on","20080225","2007","2","","515","518","This paper presents a novel fast object-based temporal filter to reduce noise by differentiating between stationary and moving regions and then filtering these regions in different filtering techniques. Most reported noise filters can only reduce impulse noise or Gaussian noise but it is not effective for filtering real video captured by CCD-based camera. Those filters usually have a fatal drawback: they cause object-overlapped or object-blurred phenomenon in an image frame while an object is moving. To overcome such problems, the proposed strategy is that a frame will be divided into stationary and moving regions and then the appropriate filtering techniques for each region are employed. Experimental results shows that the proposed method can provide a filtering speed of at least 36% over other filters, in addition, it still gives a higher visual quality while keeping a moderate compressing ratio.","","978-0-7695-2994-1;9780769529941","","10.1109/IIH-MSP.2007.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4457761","","1f noise;Cameras;Colored noise;Filtering;Filters;Gaussian noise;Noise reduction;Phase noise;Video compression;Working environment noise","Gaussian noise;filtering theory;impulse noise;video signal processing","CCD-based camera;Gaussian noise;impulse noise;object-based temporal filtering;object-blurred phenomenon;object-overlapped phenomenon;video noise reduction","","0","1","12","","","26-28 Nov. 2007","","IEEE","IEEE Conference Publications"
"Min-max approximate dynamic programming","B. O'Donoghue; Y. Wang; S. Boyd","Stanford Univ., USA","2011 IEEE International Symposium on Computer-Aided Control System Design (CACSD)","20111013","2011","","","424","431","In this paper we describe an approximate dynamic programming policy for a discrete-time dynamical system perturbed by noise. The approximate value function is the pointwise supremum of a family of lower bounds on the value function of the stochastic control problem; evaluating the control policy involves the solution of a min-max or saddle-point problem. For a quadratically constrained linear quadratic control problem, evaluating the policy amounts to solving a semidefinite program at each time step. By evaluating the policy, we obtain a lower bound on the value function, which can be used to evaluate performance: When the lower bound and the achieved performance of the policy are close, we can conclude that the policy is nearly optimal. We describe several numerical examples where this is indeed the case.","2165-3011;21653011","978-1-4577-1066-7;9781457710667","978-1-4577-1067-4;9781457710674","10.1109/CACSD.2011.6044538","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6044538","","Approximation methods;Dynamic programming;Investments;Minimization;Monte Carlo methods;Noise;Optimization","approximation theory;discrete time systems;dynamic programming;minimax techniques;stochastic systems","discrete-time dynamical system;linear quadratic control problem;min max approximate dynamic programming;saddle point problem;stochastic control problem","","2","","23","","","28-30 Sept. 2011","","IEEE","IEEE Conference Publications"
"Expander Graph based Key Distribution Mechanisms in Wireless Sensor Networks","S. A. Camtepe; B. Yener; M. Yung","Computer Science Department, Rensselaer Polytechnic Institute, Troy, New York 12180. Email: camtes@cs.rpi.edu","2006 IEEE International Conference on Communications","20061211","2006","5","","2262","2267","Secure communications between large number of sensor nodes that are randomly scattered over a hostile territory, necessitate efficient key distribution schemes. However, due to limited resources at sensor nodes such schemes cannot be based on post deployment computations. Instead, pairwise (symmetric) keys are required to be pre-distributed by assigning a list of keys, (a.k.a. key-chain), to each sensor node. If a pair of nodes does not have a common key after deployment then they must find a key-path with secured links. The objective is to minimize the keychain size while (i) maximizing pairwise key sharing probability and resilience, and (ii) minimizing average key-path length. This paper presents a deterministic key distribution scheme based on Expander Graphs. It shows how to map the parameters (e.g., degree, expansion, and diameter) of a Ramanujan Expander Graph to the desired properties of a key distribution scheme for a physical network topology.","1550-3607;15503607","1-4244-0355-3;1424403553","1-4244-0355-3;1424403553","10.1109/ICC.2006.255107","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024502","","Computer science;Graph theory;Intrusion detection;Laboratories;Network topology;Raman scattering;Resilience;Wireless sensor networks","","","","2","","22","","","June 2006","","IEEE","IEEE Conference Publications"
"Cultural event recognition by subregion classification with convolutional neural network","S. Park; N. Kwak","Grad. Sch. of CST, Seoul Nat. Univ., Seoul, South Korea","2015 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","20151026","2015","","","45","50","In this paper, a novel cultural event classification algorithm based on convolutional neural networks is proposed. The proposed method firstly extracts regions that contain meaningful information. Then, convolutional neural networks are trained to classify the extracted regions. The final classification of a scene is performed by combining the classification results of each extracted region of the scene probabilistically. Compared to the state-of-the-art methods for classifying Chalearn Looking at People cultural event recognition database, the proposed methods shows competitive results.","2160-7508;21607508","","","10.1109/CVPRW.2015.7301335","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7301335","","Accuracy;Cultural differences;Entropy;Feature extraction;Neural networks;Proposals;Training","cultural aspects;feature extraction;image classification;learning (artificial intelligence);natural scenes;neural nets;probability;visual databases","Chalearn Looking-at-People cultural event recognition database;convolutional neural network training;cultural event classification algorithm;extracted region classification;probability;scene classification;subregion classification","","3","","22","","","7-12 June 2015","","IEEE","IEEE Conference Publications"
"An improved inquiry procedure in device discovery Bluetooth network","S. S. M. Ramli; H. Hasbullah","Computer and Information Science Department, Universiti Teknologi PETRONAS Bandar Seri Iskandar, Tronoh Perak, Malaysia","2010 International Symposium on Information Technology","20100902","2010","2","","771","776","One of the big fundamental issues in Bluetooth ad hoc network is its device discovery in network initialization which would effect the whole performance. The performance of short range wireless Bluetooth ad hoc network technologies depends on the promptness of its self-configuring procedures. Due to continuous inquiry and paging process, battery in Bluetooth-enabled devices is easily drained. This afterward gives an impact on Bluetooth technology efficiency. Derived from accumulation of previous works and enhancement of the mechanism, the lengthy delays of inquiry process in device discovery are discussed in this paper. Algorithm highlighting Bluetooth initialization is designed and explained with consideration of its time consuming that eventually caused power issue. Thus, good compromise between power saving and discovery time is observed in this work while mathematical model and simulation results presented based on modification in its parameters.","2155-8973;21558973","978-1-4244-6715-0;9781424467150","","10.1109/ITSIM.2010.5561549","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5561549","Bluetooth;delay;device discovery;energy efficient","Analytical models;Book reviews;Delay;Switches;Time frequency analysis;Wireless communication","Bluetooth;ad hoc networks","Bluetooth ad hoc network;device discovery;discovery time;mathematical model;network initialization;power saving;self-configuring procedures","","0","","11","","","15-17 June 2010","","IEEE","IEEE Conference Publications"
"VLSI low loss interconnects scattering parameters","A. Wardzi&#x0144;ska; W. Bandurski","Poznan University of Technology, Chair of Multimedia Telecommunication and Microelectronics, Poland","Circuit Theory and Design (ECCTD), 2011 20th European Conference on","20111013","2011","","","516","519","The scattering parameters can be powerful description of interconnect parameters. In the paper we present the closed form formulas for the scattering parameters for low loss interconnect. The method bases on multiple scales method and expands the voltage and current in series of losses parameter. The first order approximation calculate the lossless line response. The impact of losses is included in constants of solution of differential equation. The proposed formulas for scattering parameters are compared with exact calculations in frequency domain.","","978-1-4577-0617-2;9781457706172","978-1-4577-0616-5;9781457706165","10.1109/ECCTD.2011.6043402","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6043402","VLSI interconnects;low-loss transmission line;multiple scales method;scattering parameters","Frequency domain analysis;Integrated circuit interconnections;Integrated circuit modeling;Load modeling;Power transmission lines;Scattering parameters;Time domain analysis","VLSI;differential equations;frequency-domain analysis","VLSI;differential equation;frequency domain analysis;multiple scale method;scattering parameters","","1","","4","","","29-31 Aug. 2011","","IEEE","IEEE Conference Publications"
"Performance Analysis of Single- and Multi-Channel Contention Resolution Algorithm for the DOCSIS MAC Protocol","S. e. Hong; O. h. Kwon; S. k. Kim","Broadcasting System Research Group, Electronics and Telecommunications Research Institute, Daejeon, Korea. iptvguru@etri.re.kr","2006 IEEE International Conference on Communications","20061211","2006","3","","1083","1088","Data-over-cable service interface specification (DOCSIS) MAC protocol is the de facto standard for hybrid fiber coax (HFC) network, and has also given leverage to IEEE 802.16 MAC protocol. The primary medium access control (MAC) function is contention resolution algorithm (CRA), called frame-based truncated binary exponential back-off (F-TBEB), for bandwidth requests from cable modems. The DOCSIS MAC is on the upgrade by introducing channel bonding concept in that the multiple channels can be combined together to get greater aggregate bandwidth. This paper provides a simple analytical model to compute the F-TBEB delay and throughput in single DOCSIS channel. Furthermore, we give two solutions to the problem of CRA on multiple channels and use the analytical model to determine which solution is superior.","1550-3607;15503607","1-4244-0355-3;1424403553","1-4244-0355-3;1424403553","10.1109/ICC.2006.254891","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024283","DOCSIS;MAC;component;contention resolution;performance evaluation;single- and mult-channel","Access protocols;Analytical models;Bandwidth;Bonding;Coaxial components;Hybrid fiber coaxial cables;Media Access Protocol;Modems;Optical fiber cables;Performance analysis","","","","3","","10","","","June 2006","","IEEE","IEEE Conference Publications"
"A Comparative Study of Dimensionality Reduction Algorithms Applied to Volcano-Seismic Signals","G. Cort&#x00E9;s; M. C. Ben&#x00ED;tez; L. Garc&#x00ED;a; I. &#x00C1;lvarez; J. M. Ibanez",", Andalusian Institute of Geophysics and Prevention of Seismic Disasters, Granada, Spain","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","20160129","2016","9","1","253","263","Detection and classification of the different seismic events are important tasks in volcanological observatories. Trying to make these an automatic process is fundamental for the volcanological community. It is crucial to choose how the seismic signal is represented in terms of parameters or features useful for dealing with the automatic classification problem, since the number and type of parameters could be really large leading to the curse of dimensionality issue. Machine learning theory establishes that in order to build a classifier from a labeled database, there should be a compromise between the complexity of the classifier and the size of the database. Since generating a manually labeled database is a tedious work performed by specialists in volcanology, the size of the databases limits the complexity of the classification systems built by them. On the other hand, if the databases could be represented by a reduced, but relevant, number of features, the complexity of the classifier would be simplified. In order to study the problem just described, this paper performs a comparative study of different classical techniques of dimensionality reduction (DR) of the feature set. The algorithms implemented include feature selection techniques as wrappers and filters and methods which directly transform the original feature space into another with lower dimension. All algorithms have been tested using an automatic classification system of volcano-seismic events. The best results have been obtained with the discriminative feature selection (DFS) algorithm which belongs to the set of wrapper methods.","1939-1404;19391404","","","10.1109/JSTARS.2015.2479300","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7305750","Dimensionality reduction (DR);discriminative feature selection (DFS);feature selection algorithms;feature space transformation;probabilistic models;volcano-seismic classification","Databases;Earthquakes;Feature extraction;Frequency-domain analysis;Signal processing algorithms;Transforms;Volcanoes","feature selection;geophysical signal processing;seismology;signal classification;volcanology","automatic classification system;classifier complexity;dimensionality reduction algorithm;discriminative feature selection algorithm;machine learning theory;seismic event classification;seismic event detection;volcano-seismic event;volcano-seismic signal;volcanology;wrapper method","","","","22","","2015-10-26","Jan. 2016","","IEEE","IEEE Journals & Magazines"
"Notice of Retraction<BR>Some Properties of No-Centralize Newsvendor Model with Redistributed Decision-Power","J. Wen","Sch. of Public Econ. & Adm., Shanghai Finance Univ., Shanghai, China","Modeling, Simulation and Visualization Methods (WMSVM), 2010 Second International Conference on","20100826","2010","","","282","285","Notice of Retraction<BR><BR>After careful and considered review of the content of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>We hereby retract the content of this paper. Reasonable effort should be made to remove all past references to this paper.<BR><BR>The presenting author of this paper has the option to appeal this decision by contacting TPII@ieee.org.<BR><BR>In this paper, we offer some new properties of the no-centralize newsvendor model with re-distributed decision-making power. The sale process of the model, that is different from classical model, is distinguished normal sale and promotion stages. Promotion action of vendor using right of random selection is obviously feature. We get two conclusions and some properties of optimization order quantity Q* and optimization market size N*. Moreover, we further discuss the monotonicity of (Q*,N*) as all parameter changes.","","978-1-4244-7077-8;9781424470778","","10.1109/WMSVM.2010.62","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558302","Decision-right;Newsvendor model;No-centralize;Property","Biological system modeling;Book reviews;Finance;Marketing and sales;Optimization;Promotion - marketing;Random variables","optimisation;order processing;promotion (marketing);sales management","no-centralize newsvendor model;optimization market size;optimization order quantity;promotion action;promotion stages;random selection;redistributed decision-power;sale process","","0","","8","","","15-16 May 2010","","IEEE","IEEE Conference Publications"
"Clutter based Enhance Error Rate Table (CERT) for error correction in location estimation of mobile nodes","A. Muhammad; P. Boursier; M. S. Mazliham; M. Shahrulniza; J. C. M. Yusuf","IRPS Universiti Kuala Lumpur (UniKL BMI) Kuala Lumpur, Malaysia Laboratoire L3i Universit&#x00E9; de La Rochelle La Rochelle, France","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on","20110908","2011","","","224","228","Receive Signal Strength (RSS) and Available Signal Strength (ASS) are the primary parameters used in location estimation of a mobile node. These parameters come with error because of attenuation, atmospheric absorption and other external factors. All the factors indeed lead towards the inaccurate location estimation. This research work is a continuation of our previous research in which we proposed ERT (Error Rate Table) for precise location estimation of mobile nodes. Proposed architecture was built by considering the attenuation in clutters/terrains. Thirteen clutters were proposed by considering the attenuation of the field. ERT was constructed based on the data points collected at 10 meter distance in each clutter and with the three zone divisions. Current research is focusing to reduce the errors of ERT. We collect data points in each clutter at every 2m instead of 10m. Prototype is built by using WiFi (IEEE 802.11b/g standard) and a C sharp program is used to calculate data points in each clutter/terrain. Clutter based Enhance Error Rate Table (CERT) is proposed by dividing the data points in eight zones for precise location estimation. Data collected from Agriculture/Field (A/F) clutter is considered as a baseline data because of its low error rate. CERT helps to minimize errors from 3m-18.5m (ERT correction) range to 2.5m-10m (CERT correction) range based on the clutter we are dealing with.","","978-1-61284-485-5;9781612844855","","10.1109/ICCSN.2011.6014039","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6014039","atteunation;clutter/terrain;error rate table;location estimation","Absorption;Clutter;Diffraction;GSM;High definition video;Rain;Reflection","clutter;error correction;mobile radio;telecommunication standards;wireless LAN","C sharp program;CERT;IEEE 802.11b/g standard;WiFi;agriculture/field clutter;attenuation;available signal strength;clutter based enhance error rate table;clutters/terrains;data points;error correction;location estimation;mobile nodes;receive signal strength","","0","","7","","","27-29 May 2011","","IEEE","IEEE Conference Publications"
"Conceptual frameworks for dependability and safety of a system","G. Buja; R. Menis","Dept. of Electr. Eng., Padova Univ.","International Symposium on Power Electronics, Electrical Drives, Automation and Motion, 2006. SPEEDAM 2006.","20060705","2006","","","44","49","Dependability and safety of a system are two topical subjects, which find the proper assessment into the conceptual frameworks of the dependability theory and the functional safety standards. The purpose of this paper is to explicate the two frameworks, showing how one framework supplements the other one. At first the dependability theory is introduced and the related concepts of threatens, attributes and techniques are presented. Regarding the safety, the dependability theory sets the behavioral requirements for a system in case of fault but does not deal with the characteristics of the systems used to achieve the requirements. This gap is filled up by the standards on the functional safety, which are introduced in the second part of the paper together with the concepts of risk, safety function and safety integrity level. Finally, as a case of study, the power converter supplying the air brake system installed aboard trains is analyzed from the dependability and functional safety viewpoints","","1-4244-0193-3;1424401933","","10.1109/SPEEDAM.2006.1649742","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1649742","","Air safety;Computer aided manufacturing;Computer science;Electrical safety;Electricity supply industry;Fault tolerant systems;Humans;Impedance;Power supplies;Railway safety","brakes;power convertors;railway engineering;railway safety;reliability","air brake system;dependability theory;functional safety;power converter;safety integrity level;trains","","3","","10","","","23-26 May 2006","","IEEE","IEEE Conference Publications"
"Backprojection regularization with weighted ramp filter for tomographic reconstruction","Z. Wang; I. Lee","Sch. of Inf. Technol. & Math. Sci., Univ. of South Australia, Adelaide, SA, Australia","2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20151105","2015","","","7039","7042","Although filtered backprojection (FBP) is popular, backprojection then filtering (BPF) still receives a few attentions. Usually, BPF is inferior to FBP in terms of reconstruction quality. There are two main causes. First, BPF has to use a 2-dimensional discrete ramp filter formed by sampling the continuous ramp filter, resulting in DC shift and aliasing artefacts. Second, the common ramp filter amplifies high frequency noise much. To address such two issues, a weighted ramp filter is investigated to reduce the amplification of high frequency noise, and then a total-variation based backprojection regularization (BPR) method is developed to mitigate the DC shift and improve the robustness to noise. The experimental results show that BPR outperforms FBP for low-dose CT imaging reconstruction.","1094-687X;1094687X","","","10.1109/EMBC.2015.7320013","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7320013","","Approximation algorithms;Band-pass filters;Business process re-engineering;Computed tomography;Fourier transforms;Image reconstruction","computerised tomography;dosimetry;filtering theory;image reconstruction;image sampling;medical image processing","2-dimensional discrete ramp filter;BPF;DC shift;FBP;aliasing artefacts;backprojection regularization;high frequency noise;image sampling;low-dose CT imaging reconstruction;tomographic reconstruction;weighted ramp filter","","","","11","","","25-29 Aug. 2015","","IEEE","IEEE Conference Publications"
"Nominations open for IEEE Teaching Awards","","","IEEE Transactions on Education","20100803","2010","53","3","516","516","","0018-9359;00189359","","","10.1109/TE.2010.2061651","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5536922","","","","","","0","","","","","Aug. 2010","","IEEE","IEEE Journals & Magazines"
"A hybrid demosaicking algorithm using frequency domain and wavelet methods","R. W. B. Kolta; H. A. Aly; W. Fakhr","Computer Science Department, Arab Academy for Science and Technology and Maritime, Cairo, Egypt","Image Information Processing (ICIIP), 2011 International Conference on","20111222","2011","","","1","6","Demosaicking is the process of reconstructing a full color image from the incomplete color samples output of an image sensor overlaid with a color filter array. Most demosaicking algorithms usually suffer from visible color artifacts such as false colors. In this paper the hybrid use of frequency domain demosaicking with wavelet decomposition postprocessing is employed to reduce color artifacts usually found around edges. The algorithm is iterative and an adaptive stopping criterion is suggested. Results show an improvement in terms of visual and numerical comparisons using peak signal-to-noise ratio (PSNR) between the demosaicked image before and after postprocessing.","","978-1-61284-859-4;9781612848594","","10.1109/ICIIP.2011.6108855","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6108855","Bayer pattern;Demosaicking;color filter array (CFA);false colors;iterative postprocessing;wavelet decomposition","Filter banks;Filtering algorithms;Frequency domain analysis;Image color analysis;Image edge detection;Image reconstruction;Information processing","frequency-domain analysis;image colour analysis;image reconstruction;iterative methods;optical filters;wavelet transforms","adaptive stopping criterion;color artifact reduction;color filter array;color image reconstruction;frequency domain demosaicking method;hybrid demosaicking algorithm;image sensor;iterative algorithm;peak signal-to-noise ratio;visible color artifact;wavelet decomposition postprocessing;wavelet method","","1","","9","","","3-5 Nov. 2011","","IEEE","IEEE Conference Publications"
"Basic Forced-Commutated Inverters and Their Characteristics","A. Verhoef","N.V. Philips, Eindhoven, The Netherlands.","IEEE Transactions on Industry Applications","20070423","1973","IA-9","5","601","606","In connection with the ever increasing applications of static inverters in the area of uninterruptable power systems and variable frequency ac motor drives, and the many forced-commutated inverter circuits that are proposed for these applications, an endeavor has been made to classify the impulse-commutated inverter circuits and to compare their characteristic features with each other. To attain this, the basic commutation circuits were considered generally, but yet varied enough to make some conclusions. Although there are but a few basic ways to insert a commutation impulse source in the forced-commutated inverter, many variations are possible, which make the design of inverters a difficult matter and very dependent on the desired specifications and the available components.","0093-9994;00939994","","","10.1109/TIA.1973.349946","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4158447","","AC motors;Bridge circuits;Commutation;Frequency;Inductance;Pulse inverters;Pulse width modulation inverters;Thyristors;Uninterruptible power systems;Voltage","","","","5","","6","","","Sept. 1973","","IEEE","IEEE Journals & Magazines"
"Effect of magnet materials on optimal design of a high speed PMSM","F. Martin; A. Belahcen; M. El Hadi Za&#239;m","Department of Electrical Engineering, Aalto University, 00076 Aalto, Finland","Electrical Machines and Systems (ICEMS), 2015 18th International Conference on","20160121","2015","","","661","667","In this paper, we investigate the effect of magnet materials on optimal design of a high speed synchronous machine for different rotor speeds. High speed electrical machine tends to lower the magnetic flux density in order to decrease the iron losses. Thus, ferrite magnets should lead to similar performances as rare earth magnets in the optimal design of surface mounted permanent magnet synchronous machines. With this regard, we suggest to analyze the effect of those both magnet materials on the optimal design of these PMSM for different rotor speeds.","","","","10.1109/ICEMS.2015.7385117","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7385117","","Iron;Magnetic analysis;Magnetic hysteresis;Magnetic levitation;Magnetomechanical effects;Rotors;Stator windings","magnetic materials;permanent magnet machines;rotors;synchronous machines","ferrite magnets;high speed PMSM;high speed synchronous machine;iron losses;magnet materials;magnetic flux density;optimal design;rare earth magnets;rotor speeds;surface mounted permanent magnet synchronous machines","","","","24","","","25-28 Oct. 2015","","IEEE","IEEE Conference Publications"
"Downtown Professionals","Y. Takhteyev","","Coding Places:Software Practice in a South American City","20121128","2012","","","115","133","This chapter contains sections titled: The Birth of a Software Firm, The Cutting Edge, Skol with Fabio, Building an Online Store, Working the Web, A Local Affair","","9780262305594","","","http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6354174.pdf&bkn=6354165&pdfType=chapter","","","","","","","","","2012","","","","MIT Press","MIT Press eBook Chapters"
"An Open-Source Implementation for Full-Wave 2D Scattering by Million-Wavelength-Size Objects","J. Fostier; F. Olyslager","Department of Information Technology (INTEC), Ghent University, Sint-Pietersnieuwstraat 41, B-9000, Belgium","IEEE Antennas and Propagation Magazine","20110113","2010","52","5","23","34","In this contribution, we demonstrate that recent improvements in “fast methods” allow for fully error-controlled full-wave simulations of two-dimensional objects with sizes over a million wavelengths using relatively simple computing environments. We review how a fully scalable parallel version of the Multilevel Fast Multipole Algorithm (MLFMA) is obtained to accelerate a two-dimensional boundary integral equation for the scattering by multiple large dielectric and/or perfectly conducting objects. Several complex and large-scale examples demonstrate the capabilities of the algorithm. This implementation is available as open source under GPL license (http://www.openfmm.net).","1045-9243;10459243","","","10.1109/MAP.2010.5687503","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5687503","Electromagnetic scattering;boundary integral equations;moment methods;multilevel fast multipole algorithm (MLFMA);scalable parallel algorithms","Open source software;Scattering;Two dimensional displays","boundary integral equations;conducting bodies;electromagnetic wave scattering","2D boundary integral equation;GPL license;MLFMA;error-controlled full-wave simulations;full-wave 20 scattering;fully scalable parallel version;million-wavelength-size objects;multilevel fast multipole algorithm;multiple large dielectric;open-source implementation;perfectly conducting objects;relatively simple computing environments","","8","","43","","","Oct. 2010","","IEEE","IEEE Journals & Magazines"
